INFO:root:Topic 0
INFO:root:7448 : 0.000306 
INFO:root:37450 : 0.000306 
INFO:root:1980 : 0.000305 
INFO:root:27440 : 0.000305 
INFO:root:22656 : 0.000305 
INFO:root:49951 : 0.000304 
INFO:root:41389 : 0.000303 
INFO:root:33749 : 0.000303 
INFO:root:26791 : 0.000302 
INFO:root:2837 : 0.000301 
INFO:root:25164 : 0.000301 
INFO:root:23059 : 0.000301 
INFO:root:31962 : 0.000301 
INFO:root:424 : 0.000300 
INFO:root:861 : 0.000300 
INFO:root:16982 : 0.000299 
INFO:root:707 : 0.000299 
INFO:root:16464 : 0.000298 
INFO:root:18083 : 0.000297 
INFO:root:2857 : 0.000297 
INFO:root:378 : 0.000297 
INFO:root:19271 : 0.000295 
INFO:root:2226 : 0.000294 
INFO:root:9413 : 0.000294 
INFO:root:1033 : 0.000294 
INFO:root:2378 : 0.000294 
INFO:root:2452 : 0.000294 
INFO:root:3022 : 0.000294 
INFO:root:43965 : 0.000293 
INFO:root:1759 : 0.000292 
INFO:root:32038 : 0.000291 
INFO:root:3392 : 0.000291 
INFO:root:2567 : 0.000291 
INFO:root:2428 : 0.000290 
INFO:root:983 : 0.000290 
INFO:root:12739 : 0.000289 
INFO:root:33030 : 0.000289 
INFO:root:2616 : 0.000288 
INFO:root:8211 : 0.000288 
INFO:root:32035 : 0.000288 
INFO:root:764 : 0.000288 
INFO:root:7443 : 0.000287 
INFO:root:2015 : 0.000286 
INFO:root:1442 : 0.000286 
INFO:root:8418 : 0.000285 
INFO:root:16743 : 0.000285 
INFO:root:10654 : 0.000284 
INFO:root:961 : 0.000281 
INFO:root:3487 : 0.000281 
INFO:root:1182 : 0.000280 
INFO:root:689 : 0.000280 
INFO:root:2275 : 0.000279 
INFO:root:35485 : 0.000279 
INFO:root:968 : 0.000279 
INFO:root:2079 : 0.000279 
INFO:root:14128 : 0.000279 
INFO:root:34002 : 0.000278 
INFO:root:3405 : 0.000278 
INFO:root:18587 : 0.000278 
INFO:root:2542 : 0.000276 
INFO:root:1391 : 0.000276 
INFO:root:41969 : 0.000275 
INFO:root:22586 : 0.000275 
INFO:root:3615 : 0.000274 
INFO:root:14353 : 0.000274 
INFO:root:840 : 0.000274 
INFO:root:4171 : 0.000274 
INFO:root:965 : 0.000273 
INFO:root:3082 : 0.000273 
INFO:root:22569 : 0.000272 
INFO:root:26463 : 0.000272 
INFO:root:35650 : 0.000272 
INFO:root:1847 : 0.000272 
INFO:root:12334 : 0.000271 
INFO:root:2576 : 0.000270 
INFO:root:12111 : 0.000270 
INFO:root:25079 : 0.000269 
INFO:root:1252 : 0.000269 
INFO:root:892 : 0.000269 
INFO:root:29466 : 0.000267 
INFO:root:2084 : 0.000267 
INFO:root:24536 : 0.000266 
INFO:root:36321 : 0.000266 
INFO:root:2919 : 0.000265 
INFO:root:16839 : 0.000265 
