INFO:root:V = 8211  D = 10768
INFO:root:[ iteration ] l2-l1  -923284.856 - -923332.424 = 47.568 
INFO:root:[ iteration ]  step 74
INFO:root:[ iteration ] l2-l1  -923238.521 - -923284.856 = 46.335 
INFO:root:[ iteration ]  step 75
INFO:root:[ iteration ] l2-l1  -923190.672 - -923238.521 = 47.849 
INFO:root:[ iteration ]  step 76
INFO:root:[ iteration ] l2-l1  -923144.812 - -923190.672 = 45.860 
INFO:root:[ iteration ]  step 77
INFO:root:[ iteration ] l2-l1  -923105.030 - -923144.812 = 39.781 
INFO:root:[ iteration ]  step 78
INFO:root:[ iteration ] l2-l1  -923063.915 - -923105.030 = 41.116 
INFO:root:[ iteration ]  step 79
INFO:root:[ iteration ] l2-l1  -923020.500 - -923063.915 = 43.415 
INFO:root:[ iteration ]  step 80
INFO:root:[ iteration ] l2-l1  -922980.654 - -923020.500 = 39.846 
INFO:root:[ iteration ]  step 81
INFO:root:[ iteration ] l2-l1  -922944.278 - -922980.654 = 36.375 
INFO:root:[ iteration ]  step 82
INFO:root:[ iteration ] l2-l1  -922907.895 - -922944.278 = 36.383 
INFO:root:[ iteration ]  step 83
INFO:root:[ iteration ] l2-l1  -922872.040 - -922907.895 = 35.856 
INFO:root:[ iteration ]  step 84
INFO:root:[ iteration ] l2-l1  -922839.448 - -922872.040 = 32.591 
INFO:root:[ iteration ]  step 85
INFO:root:[ iteration ] l2-l1  -922809.192 - -922839.448 = 30.257 
INFO:root:[ iteration ]  step 86
INFO:root:[ iteration ] l2-l1  -922777.570 - -922809.192 = 31.621 
INFO:root:[ iteration ]  step 87
INFO:root:[ iteration ] l2-l1  -922743.960 - -922777.570 = 33.611 
INFO:root:[ iteration ]  step 88
INFO:root:[ iteration ] l2-l1  -922711.399 - -922743.960 = 32.561 
INFO:root:[ iteration ]  step 89
INFO:root:[ iteration ] l2-l1  -922679.590 - -922711.399 = 31.809 
INFO:root:[ iteration ]  step 90
INFO:root:[ iteration ] l2-l1  -922647.285 - -922679.590 = 32.305 
INFO:root:[ iteration ]  step 91
INFO:root:[ iteration ] l2-l1  -922614.687 - -922647.285 = 32.598 
INFO:root:[ iteration ]  step 92
INFO:root:[ iteration ] l2-l1  -922582.927 - -922614.687 = 31.760 
INFO:root:[ iteration ]  step 93
INFO:root:[ iteration ] l2-l1  -922553.547 - -922582.927 = 29.380 
INFO:root:[ iteration ]  step 94
INFO:root:[ iteration ] l2-l1  -922527.209 - -922553.547 = 26.337 
INFO:root:[ iteration ]  step 95
INFO:root:[ iteration ] l2-l1  -922500.387 - -922527.209 = 26.823 
INFO:root:[ iteration ]  step 96
INFO:root:[ iteration ] l2-l1  -922472.472 - -922500.387 = 27.914 
INFO:root:[ iteration ]  step 97
INFO:root:[ iteration ] l2-l1  -922444.877 - -922472.472 = 27.595 
INFO:root:[ iteration ]  step 98
INFO:root:[ iteration ] l2-l1  -922416.941 - -922444.877 = 27.936 
INFO:root:[ iteration ]  step 99
INFO:root:[ iteration ] l2-l1  -922389.577 - -922416.941 = 27.364 
INFO:root:[ iteration ]  step 100
INFO:root:[ iteration ] l2-l1  -922363.088 - -922389.577 = 26.489 
INFO:root:[ iteration ]  step 101
INFO:root:[ iteration ] l2-l1  -922337.860 - -922363.088 = 25.228 
INFO:root:[ iteration ]  step 102
INFO:root:[ iteration ] l2-l1  -922316.605 - -922337.860 = 21.255 
INFO:root:[ iteration ]  step 103
INFO:root:[ iteration ] l2-l1  -922296.631 - -922316.605 = 19.974 
INFO:root:[ iteration ] End EM 
INFO:root:z = 13 eps = -922296.631344 time = 953.463684
INFO:root:Topic 0
INFO:root:model : 0.073070 
INFO:root:agent : 0.052517 
INFO:root:networks : 0.049896 
INFO:root:bayesian : 0.036326 
INFO:root:detection : 0.019267 
INFO:root:markov : 0.018581 
INFO:root:induction : 0.018478 
INFO:root:models : 0.018007 
INFO:root:virtual : 0.017328 
INFO:root:semantics : 0.016702 
INFO:root:Topic 1
INFO:root:information : 0.071149 
INFO:root:efficient : 0.037735 
INFO:root:architecture : 0.036469 
INFO:root:retrieval : 0.034572 
INFO:root:methods : 0.033158 
INFO:root:interactive : 0.021780 
INFO:root:computing : 0.021780 
INFO:root:environments : 0.019775 
INFO:root:robot : 0.016209 
INFO:root:task : 0.014689 
INFO:root:Topic 2
INFO:root:systems : 0.096920 
INFO:root:approach : 0.087132 
INFO:root:logic : 0.051789 
INFO:root:multi-agent : 0.049707 
INFO:root:programming : 0.035697 
INFO:root:distributed : 0.021982 
INFO:root:reasoning : 0.019836 
INFO:root:database : 0.017273 
INFO:root:multiagent : 0.017206 
INFO:root:agent-based : 0.016505 
INFO:root:Topic 3
INFO:root:learning : 0.206931 
INFO:root:text : 0.045444 
INFO:root:clustering : 0.035366 
INFO:root:modeling : 0.028331 
INFO:root:machine : 0.025616 
INFO:root:study : 0.021296 
INFO:root:active : 0.015972 
INFO:root:improving : 0.014831 
INFO:root:conditional : 0.014831 
INFO:root:categorization : 0.013690 
INFO:root:Topic 4
INFO:root:agents : 0.075463 
INFO:root:search : 0.045951 
INFO:root:language : 0.043149 
INFO:root:adaptive : 0.035658 
INFO:root:user : 0.029700 
INFO:root:intelligent : 0.029513 
INFO:root:applications : 0.028579 
INFO:root:software : 0.023909 
INFO:root:service : 0.022041 
INFO:root:development : 0.018306 
INFO:root:Topic 5
INFO:root:knowledge : 0.101498 
INFO:root:documents : 0.024625 
INFO:root:network : 0.018844 
INFO:root:management : 0.018296 
INFO:root:collaborative : 0.017773 
INFO:root:modelling : 0.013704 
INFO:root:environment : 0.013662 
INFO:root:filtering : 0.013490 
INFO:root:results : 0.013062 
INFO:root:discovery : 0.012874 
INFO:root:Topic 6
INFO:root:multiple : 0.034218 
INFO:root:negotiation : 0.033068 
INFO:root:recognition : 0.033068 
INFO:root:mobile : 0.030767 
INFO:root:generation : 0.024453 
INFO:root:combining : 0.022716 
INFO:root:word : 0.016965 
INFO:root:sense : 0.015527 
INFO:root:human : 0.014090 
INFO:root:disambiguation : 0.014090 
INFO:root:Topic 7
INFO:root:data : 0.072478 
INFO:root:classification : 0.057173 
INFO:root:support : 0.050273 
INFO:root:selection : 0.038115 
INFO:root:vector : 0.034336 
INFO:root:framework : 0.032965 
INFO:root:feature : 0.030065 
INFO:root:learning : 0.025250 
INFO:root:machines : 0.022672 
INFO:root:reinforcement : 0.020700 
INFO:root:Topic 8
INFO:root:based : 0.070018 
INFO:root:system : 0.067241 
INFO:root:dynamic : 0.033521 
INFO:root:query : 0.027571 
INFO:root:ontology : 0.024267 
INFO:root:evaluation : 0.023405 
INFO:root:document : 0.020628 
INFO:root:method : 0.020628 
INFO:root:processing : 0.019042 
INFO:root:temporal : 0.017455 
INFO:root:Topic 9
INFO:root:web : 0.143532 
INFO:root:semantic : 0.077361 
INFO:root:information : 0.048512 
INFO:root:extraction : 0.040708 
INFO:root:mining : 0.038275 
INFO:root:data : 0.027382 
INFO:root:automatic : 0.026274 
INFO:root:reasoning : 0.026054 
INFO:root:services : 0.021867 
INFO:root:relational : 0.017516 
INFO:root:Topic 10
INFO:root:planning : 0.103199 
INFO:root:theory : 0.021704 
INFO:root:strategies : 0.017448 
INFO:root:linear : 0.017235 
INFO:root:domain : 0.015320 
INFO:root:structured : 0.015320 
INFO:root:plan : 0.015320 
INFO:root:automated : 0.014920 
INFO:root:classifiers : 0.014493 
INFO:root:comparison : 0.013618 
INFO:root:Topic 11
INFO:root:analysis : 0.093058 
INFO:root:decision : 0.025736 
INFO:root:gene : 0.020286 
INFO:root:trees : 0.018032 
INFO:root:fuzzy : 0.017066 
INFO:root:tool : 0.016422 
INFO:root:optimization : 0.016081 
INFO:root:expression : 0.014490 
INFO:root:methodology : 0.013846 
INFO:root:maximum : 0.012236 
INFO:root:Topic 12
INFO:root:probabilistic : 0.080561 
INFO:root:ontologies : 0.064120 
INFO:root:parsing : 0.043980 
